date,regime,fold,SPY,TLT,GLD,EEM,VNQ,LQD,BIL,QQQ
2017-01-31,Bear,Fold 1,0.18415257657869943,0.005545218327721979,0.5999999997663554,0.005137214956069085,0.0015768569144270328,0.010508847340702211,0.009106598585036084,0.18397268753098883
2017-02-28,Bear,Fold 1,0.1848390496439245,0.004081057364297013,0.5999999996726811,0.005015678003444674,0.002289443315637298,0.009832984362506092,0.008301644171338579,0.18564014346617064
2017-03-31,Bear,Fold 1,0.18426165995808494,0.005668855948916156,0.5999999999922905,0.00394915803872207,1.8204952346062004e-09,0.010100471253383729,0.010379709846331044,0.1856401431417764
2017-04-30,Bear,Fold 1,0.183763894892591,0.006062964315398583,0.5999999999117537,0.0034897618677703322,1.2193080484766595e-08,0.009432171126150078,0.009724313144376455,0.18752688254887934
2017-05-31,Bear,Fold 1,0.18318223711692155,0.0056677787365243025,0.599999999777063,0.0057695299490354394,8.808010999113989e-10,0.009431991148409844,0.00898680627554888,0.18696165611569596
2017-06-30,Bear,Fold 1,0.18395419846523225,0.004394854626505821,0.5999999998899717,0.00505158205981971,1.8846816442667607e-10,0.009425643207664267,0.009941146200551225,0.18723257536178697
2017-07-31,Bear,Fold 1,0.18386879996621758,0.0039895832159478435,0.5999999994125027,0.0055649267296401005,1.2868639871994295e-09,0.009679923304083229,0.010434847467815086,0.18646191861692954
2017-08-31,Bear,Fold 1,0.18335181100511477,0.005248094963677895,0.5999999996667706,0.0056443593820953795,2.5528418128840943e-09,0.00946520817159545,0.010059176492276695,0.1862313477656273
2017-09-30,Bear,Fold 1,0.1847152439135,0.004552287915188897,0.5999999998917438,0.005564519328580261,1.0212130812731516e-09,0.009418870965797903,0.009925866324047863,0.18582321063992824
2017-10-31,Bear,Fold 1,0.18484457534598947,0.005389617712086478,0.5999999998885005,0.005833638908553714,7.640921019627727e-09,0.008868529935389441,0.00853639704234111,0.1865272335262184
2017-11-30,Bear,Fold 1,0.1833184116152478,0.008091745238236324,0.5999999996265709,0.0064649825822210944,1.7397401926007744e-08,0.00886770213493677,0.00719999700689742,0.1860571443984878
2017-12-31,Bear,Fold 1,0.18254416409946492,0.00889580178232865,0.5999999999648646,0.0077138980150629095,2.4947215259261015e-10,0.008847304233307545,0.006871067282565322,0.18512776437293388
2018-01-31,Bear,Fold 1,0.18366323861365838,0.007155534840355505,0.5999999996862179,0.00816653848011079,8.255412731978969e-10,0.00801644032552791,0.006620169371358137,0.1863780778572301
2018-02-28,Bear,Fold 1,0.1820690371105498,0.007892680011658026,0.5999999999653378,0.006152303219290154,6.447068547997425e-11,0.009092000704255431,0.00928669048871298,0.18550728843572514
2018-03-31,Bear,Fold 1,0.18122644877365635,0.010353685847410189,0.5999999999380223,0.0047939633652790015,4.2561871608624044e-10,0.01038747084216027,0.010230601607658735,0.18300782920019443
2018-04-30,Bear,Fold 1,0.18156100632318503,0.010168529677117845,0.5999999996958086,0.0041060928134080245,1.887022606664999e-09,0.010384360323180892,0.011253793863365337,0.18252621541691164
2018-05-31,Bear,Fold 1,0.18213996973088104,0.010483766427405138,0.5999999995243814,0.002039250531899508,1.4854081864354015e-08,0.010380048188999846,0.011675176678459256,0.18328177406389196
2018-06-30,Bear,Fold 1,0.182248416856588,0.01057140817099636,0.5999999998694273,1.4084128198272943e-08,0.0003136417641598206,0.010086426269524959,0.011803222940941696,0.1849768700442338
2018-07-31,Bear,Fold 1,0.1827175230596262,0.010571400944124728,0.5999999999395815,4.377870506978685e-10,3.935876493765993e-05,0.010367877694973531,0.011864107579952675,0.1844397315790166
2018-08-31,Bear,Fold 1,0.18332633667114162,0.00938390185997507,0.5999999998898876,1.2924899110676096e-10,0.0006942422308796553,0.009772155314719257,0.011531219228689746,0.1852921446754581
2018-09-30,Bear,Fold 1,0.18309969489288355,0.009528630870619254,0.5999999999603167,5.856058361328085e-11,2.319094152709171e-09,0.009962679635325263,0.011714584753970044,0.18569440750923039
2018-10-31,Bear,Fold 1,0.1808685394606556,0.010693021509333846,0.599999999968009,4.8009360124781026e-11,0.0014711125099641604,0.011427716941239688,0.014197674585383593,0.18134193497740475
2018-11-30,Bear,Fold 1,0.18001025085549313,0.01160270832815904,0.5999999999071922,2.819664791858763e-10,0.002450276843662884,0.011608652437624404,0.014551201233368173,0.17977691011253363
2018-12-31,Bear,Fold 1,0.17665274330430866,0.015622243360217346,0.5999999999867507,3.164364020658539e-11,0.0007346123638308808,0.013979779484703603,0.016665696884968682,0.17634492458357648
2019-01-31,Bull,Fold 2,0.3437999167477216,0.0031512831937709805,0.2872862284622015,1.2242719786105476e-10,0.016942874338856054,0.0005066889433381856,0.0017327698015995746,0.34658023839008484
2019-02-28,Bear,Fold 2,0.17716142287136027,0.014300552381845634,0.5999999997781519,3.441796517863956e-10,0.007542487458479868,0.01292921359414624,0.012945248864853874,0.17512107470698263
2019-03-31,Bear,Fold 2,0.17870210108499485,0.013461585393443243,0.5999999999128269,1.0429019931960288e-10,0.005850131649901003,0.012335612910286472,0.011336448023509254,0.17831412092074794
2019-04-30,Bear,Fold 2,0.17917622981812392,0.01302298651329966,0.5999999999679196,5.7839818711692055e-11,0.005031621495758551,0.012483513112852814,0.010961149893685813,0.1793244991405198
